תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
1/2/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,February,,צ'ק
26/9/2025 12:00am,₪14.00,בית,תיקונים,חיבור לצינור,הוצאה,October,,ויזה 6346
2/10/2025 12:00am,₪780.00,בית,רהיטים,כסא מחשב חדש תשלום 1,הוצאה,October,,ויזה 6346
6/10/2025 12:00am,₪147.00,בית,רהיטים,DIY שולחן מחשב | הום סנטר,הוצאה,October,,ויזה 6346
10/10/2025 12:00am,₪90.00,בית,תיקונים,אדמה ועציץ חדש,הוצאה,October,,כאל 6660
13/10/2025 12:00am,₪4100.00,בית,שכר דירה,,הוצאה,October,,צ'ק
16/10/2025 12:00am,₪780.00,בית,רהיטים,כסא מחשב חיוב 2,הוצאה,November,,ויזה 6346
15/10/2025 12:00am,₪59.00,בית,תיקונים,אקדח צינור מים,הוצאה,October,,ויזה 6346
25/10/2025 12:00am,₪185.21,בית,רהיטים,זרוע לפרויקט של הכיסא | TEMU,הוצאה,November,,ויזה 6346
28/10/2025 12:00am,₪86.98,בית,תיקונים,חומרים לפרויקט כיסא,הוצאה,November,,ויזה 6346
10/11/2025 12:00am,₪4100.00,בית,שכר דירה,,הוצאה,November,,צ'ק
7/11/2025 12:00am,₪14.00,בית,תיקונים,,הוצאה,November,,ויזה 6346
24/10/2025 12:00am,₪810.00,בית,חשמל,חשבון חשמל אוגוסט - אוקטובר,הוצאה,November,,כאל 6660
8/11/2025 12:00am,₪84.27,בית,אלי אקספרס,דברים לבית,הוצאה,November,,כאל 6660
15/11/2025 12:00am,₪780.00,בית,רהיטים,כסא מחשב תשלום 3 מתוך 3,הוצאה,November,,ויזה 6346
10/12/2025 12:00am,₪4100.00,בית,שכר דירה,,הוצאה,December,,צ'ק
6/1/2026 12:00am,₪585.00,בית,חשמל,חשבון חשמל אוקטובר-דצמבר,הוצאה,January,,כאל 6660
1/1/2026 12:00am,₪177.00,בית,אחר,כביסה במכבסה,הוצאה,January,,כאל 6660
7/1/2026 12:00am,₪630.00,בית,מים,חשבון שנתי מים על יובי,הוצאה,January,,ויזה 6346
10/1/2026 12:00am,₪345.00,בית,מכשירי חשמל,טוסטר חדש,הוצאה,January,,ויזה 6346
10/1/2026 12:00am,₪4100.00,בית,שכר דירה,,הוצאה,January,,צ'ק
1/6/2025 12:00am,₪20.00,בריאות,תרופות,אין,הוצאה,June,,ויזה 6346
1/7/2025 12:00am,₪400.00,בריאות,פסיכולוגית,אין,הוצאה,July,,ויזה 6346
1/2/2025 12:00am,₪400.00,בריאות,פסיכולוגית,אין,הוצאה,February,,ויזה 6346
3/9/2025 12:00am,₪70.00,בריאות,ביטוח בריאות,הראל,הוצאה,September,,ויזה 6346
1/6/2025 12:00am,₪400.00,בריאות,פסיכולוגית,אין,הוצאה,June,,ויזה 6346
1/5/2025 12:00am,₪400.00,בריאות,פסיכולוגית,אין,הוצאה,May,,ויזה 6346
1/1/2025 12:00am,₪94.00,בריאות,ביטוח מכבי,אין,הוצאה,January,,ויזה 6346
18/8/2025 12:00am,₪33.00,בריאות,ביטוח מכבי,רופא אורולוג רמת השרון,הוצאה,September,,ויזה 6346
18/7/2025 12:00am,₪228.00,בריאות,תרופות,,הוצאה,August,,ויזה 6346
1/3/2025 12:00am,₪94.00,בריאות,ביטוח מכבי,אין,הוצאה,March,,ויזה 6346
1/4/2025 12:00am,₪94.00,בריאות,ביטוח מכבי,אין,הוצאה,April,,ויזה 6346
1/5/2025 12:00am,₪94.00,בריאות,ביטוח מכבי,אין,הוצאה,May,,ויזה 6346
1/5/2025 12:00am,₪343.00,בריאות,תרופות,אין,הוצאה,May,,ויזה 6346
1/1/2025 12:00am,₪400.00,בריאות,פסיכולוגית,אין,הוצאה,January,,ויזה 6346
24/7/2025 12:00am,₪400.00,בריאות,פסיכולוגית,,הוצאה,August,,ויזה 6346
20/8/2025 12:00am,₪400.00,בריאות,פסיכולוגית,,הוצאה,September,,ויזה 6346
1/2/2025 12:00am,₪94.00,בריאות,ביטוח מכבי,אין,הוצאה,February,,ויזה 6346
17/9/2025 12:00am,₪400.00,בריאות,פסיכולוגית,,הוצאה,October,,ביט/פייבוקס
1/6/2025 12:00am,₪227.00,בריאות,ביטוח מכבי,אין,הוצאה,June,,ויזה 6346
1/7/2025 12:00am,₪115.00,בריאות,ביטוח בריאות,אין,הוצאה,July,,ויזה 6346
1/2/2025 12:00am,₪230.00,בריאות,תרופות,אין,הוצאה,February,,ויזה 6346
1/3/2025 12:00am,₪400.00,בריאות,פסיכולוגית,אין,הוצאה,March,,ויזה 6346
3/8/2025 12:00am,₪69.00,בריאות,ביטוח בריאות,,הוצאה,August,,ויזה 6346
3/10/2025 12:00am,₪69.62,בריאות,ביטוח בריאות,הראל ביטוח בריאות,הוצאה,October,,הוראת קבע
8/10/2025 12:00am,₪331.00,בריאות,תרופות,תרופות וכדורים ליובי,הוצאה,October,,
15/10/2025 12:00am,₪400.00,בריאות,פסיכולוגית,נורית פייבוקס,הוצאה,October,,ביט/פייבוקס
3/11/2025 12:00am,₪69.22,בריאות,ביטוח בריאות,הראל,הוצאה,November,,ויזה 6346
10/11/2025 12:00am,₪563.00,בריאות,תרופות,משחה לטיפול פפילומה,הוצאה,November,,ויזה 6346
10/11/2025 12:00am,₪33.00,בריאות,ביטוח מכבי,,הוצאה,November,,ויזה 6346
12/11/2025 12:00am,₪400.00,בריאות,פסיכולוגית,,הוצאה,November,,ויזה 6346
2/12/2025 12:00am,₪36.43,בריאות,תרופות,תרופה לתאילנד,הוצאה,December,,ויזה 6346
3/12/2025 12:00am,₪400.00,בריאות,פסיכולוגית,,הוצאה,December,,ויזה 6346
3/12/2025 12:00am,₪69.56,בריאות,ביטוח בריאות,הראל ביטוח בריאות,הוצאה,December,,ויזה 6346
4/1/2026 12:00am,₪69.22,בריאות,ביטוח בריאות,הראל ביטוח בריאות,הוצאה,January,,ויזה 6346
4/1/2026 12:00am,₪742.96,בריאות,ביטוח מכבי,חיובים על חצי שנה ,הוצאה,January,,ויזה 6346
7/1/2026 12:00am,₪400.00,בריאות,פסיכולוגית,נורית,הוצאה,January,,ביט/פייבוקס
17/7/2025 12:00am,₪90.00,הוצאות משתנות,טבק,,הוצאה,August,,ויזה 6346
1/4/2025 12:00am,₪57.00,הוצאות משתנות,מיצי,אין,הוצאה,April,,ויזה 6346
4/8/2025 12:00am,₪180.00,הוצאות משתנות,מתנות,פרחים ליום הולדת של אמא,הוצאה,August,,ויזה 6346
1/6/2025 12:00am,₪529.00,הוצאות משתנות,מתנות,חתונה עדן יצחקוב,הוצאה,June,,ויזה 6346
7/8/2025 12:00am,₪98.00,הוצאות משתנות,טבק,,הוצאה,August,,ויזה 6346
28/8/2025 12:00am,₪443.00,הוצאות משתנות,מיצי,אנימל שופ | חול אוכל ושקיות,הוצאה,September,,ויזה 6346
1/2/2025 12:00am,₪180.00,הוצאות משתנות,תספורת,אין,הוצאה,February,,ויזה 6346
1/2/2025 12:00am,₪400.00,הוצאות משתנות,וויד,אין,הוצאה,February,,ויזה 6346
1/5/2025 12:00am,₪180.00,הוצאות משתנות,תספורת,אין,הוצאה,May,,ויזה 6346
9/9/2025 12:00am,₪180.00,הוצאות משתנות,תספורת,3 תספורות,הוצאה,September,,ויזה 6346
1/5/2025 12:00am,₪285.00,הוצאות משתנות,מיצי,אין,הוצאה,May,,ויזה 6346
1/7/2025 12:00am,₪180.00,הוצאות משתנות,תספורת,אין,הוצאה,July,,ויזה 6346
1/1/2025 12:00am,₪105.00,הוצאות משתנות,טבק,אין,הוצאה,January,,ויזה 6346
1/2/2025 12:00am,₪332.00,הוצאות משתנות,מיצי,אין,הוצאה,February,,ויזה 6346
1/2/2025 12:00am,₪90.00,הוצאות משתנות,טבק,אין,הוצאה,February,,ויזה 6346
1/6/2025 12:00am,₪117.00,הוצאות משתנות,מיצי,אין,הוצאה,June,,ויזה 6346
10/8/2025 12:00am,₪45.00,הוצאות משתנות,מתנות,סוללות ושנאים לאבא,הוצאה,August,,ויזה 6346
1/6/2025 12:00am,₪60.00,הוצאות משתנות,תספורת,אין,הוצאה,June,,ויזה 6346
22/8/2025 12:00am,₪90.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,September,,ויזה 6346
19/7/2025 12:00am,₪189.00,הוצאות משתנות,מיצי,אוכל למיצי,הוצאה,August,,ויזה 6346
1/1/2025 12:00am,₪185.00,הוצאות משתנות,מיצי,אין,הוצאה,January,,ויזה 6346
1/3/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,אין,הוצאה,March,,ויזה 6346
1/4/2025 12:00am,₪514.00,הוצאות משתנות,מתנות,חתונה גל מזאה,הוצאה,April,,ויזה 6346
1/4/2025 12:00am,₪120.00,הוצאות משתנות,תספורת,אין,הוצאה,April,,ויזה 6346
8/8/2025 12:00am,₪140.00,הוצאות משתנות,מתנות,פרחים ליובי,הוצאה,August,,ויזה 6346
1/2/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,אין,הוצאה,February,,ויזה 6346
14/9/2025 12:00am,₪109.00,הוצאות משתנות,טבק,,הוצאה,September,,ויזה 6346
1/9/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,תשלום 4 מתוך 8,הוצאה,September,,ויזה 6346
1/3/2025 12:00am,₪260.00,הוצאות משתנות,תספורת,אין,הוצאה,March,,ויזה 6346
1/4/2025 12:00am,₪110.00,הוצאות משתנות,טבק,אין,הוצאה,April,,ויזה 6346
1/6/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,אין,הוצאה,June,,ויזה 6346
3/8/2025 12:00am,₪120.00,הוצאות משתנות,תספורת,,הוצאה,August,,ויזה 6346
1/1/2025 12:00am,₪280.00,הוצאות משתנות,מתנות,אין,הוצאה,January,,ויזה 6346
1/1/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,אין,הוצאה,January,,ויזה 6346
8/9/2025 12:00am,₪12.00,הוצאות משתנות,מתנות,לוטו,הוצאה,September,,ויזה 6346
1/2/2025 12:00am,₪70.00,הוצאות משתנות,מתנות,אין,הוצאה,February,,ויזה 6346
1/3/2025 12:00am,₪250.00,הוצאות משתנות,וויד,אין,הוצאה,March,,ויזה 6346
1/6/2025 12:00am,₪400.00,הוצאות משתנות,וויד,אין,הוצאה,June,,ויזה 6346
1/3/2025 12:00am,₪85.00,הוצאות משתנות,מתנות,אין,הוצאה,March,,ויזה 6346
1/3/2025 12:00am,₪275.00,הוצאות משתנות,מיצי,אין,הוצאה,March,,ויזה 6346
1/1/2025 12:00am,₪260.00,הוצאות משתנות,תספורת,אין,הוצאה,January,,ויזה 6346
28/8/2025 12:00am,₪90.00,הוצאות משתנות,טבק,,הוצאה,September,,ויזה 6346
1/7/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,אין,הוצאה,July,,ויזה 6346
1/5/2025 12:00am,₪194.00,הוצאות משתנות,טבק,אין,הוצאה,May,,ויזה 6346
22/9/2025 12:00am,₪260.00,הוצאות משתנות,מתנות,פרחים לאמא וליובי לחג,הוצאה,October,,ויזה 6346
16/9/2025 12:00am,₪132.00,הוצאות משתנות,מנוי חיפה,מנוי חיפה,הוצאה,October,,ויזה 6346
